"id","code","name","account_type","parent_id:id","level","sped_type","sped_table","sped_chart_template_id:id"
"sped_account_template_l100a_1","1","ATIVO","S",,"1","1","L100A","sped_chart_template_la"
"sped_account_template_l100a_101","1.01","ATIVO CIRCULANTE","S","sped_account_template_l100a_1","2","1","L100A","sped_chart_template_la"
"sped_account_template_l100a_10101","1.01.01","DISPONIBILIDADES","S","sped_account_template_l100a_101","3","1","L100A","sped_chart_template_la"
"sped_account_template_l100a_1010101","1.01.01.01","CAIXA GERAL","S","sped_account_template_l100a_10101","4","1","L100A","sped_chart_template_la"
"sped_account_template_l100a_101010101","1.01.01.01.01","Caixa Matriz","A","sped_account_template_l100a_1010101","5","1","L100A","sped_chart_template_la"
"sped_account_template_l100a_101010102","1.01.01.01.02","Caixa Filiais","A","sped_account_template_l100a_1010101","5","1","L100A","sped_chart_template_la"
"sped_account_template_l100a_1010102","1.01.01.02","DEPÓSITOS BANCÁRIOS À VISTA","S","sped_account_template_l100a_10101","4","1","L100A","sped_chart_template_la"
"sped_account_template_l100a_101010201","1.01.01.02.01","Bancos Conta Movimento - No País","A","sped_account_template_l100a_1010102","5","1","L100A","sped_chart_template_la"
"sped_account_template_l100a_101010202","1.01.01.02.02","Bancos Conta Movimento - No Exterior","A","sped_account_template_l100a_1010102","5","1","L100A","sped_chart_template_la"
"sped_account_template_l100a_1010104","1.01.01.04","NUMERÁRIOS EM TRÂNSITO","S","sped_account_template_l100a_10101","4","1","L100A","sped_chart_template_la"
"sped_account_template_l100a_101010401","1.01.01.04.01","Numerários em Trânsito","A","sped_account_template_l100a_1010104","5","1","L100A","sped_chart_template_la"
"sped_account_template_l100a_1010105","1.01.01.05","TÍTULOS E VALORES MOBILIÁRIOS - NÃO HEDGE - NO PAÍS","S","sped_account_template_l100a_10101","4","1","L100A","sped_chart_template_la"
"sped_account_template_l100a_101010501","1.01.01.05.01","Títulos para Negociação - Mensurados a Valor Justo Por Meio do Resultado (VJPR) - No País","A","sped_account_template_l100a_1010105","5","1","L100A","sped_chart_template_la"
"sped_account_template_l100a_101010502","1.01.01.05.02","Títulos Disponíveis para Venda - No País","A","sped_account_template_l100a_1010105","5","1","L100A","sped_chart_template_la"
"sped_account_template_l100a_101010503","1.01.01.05.03","Títulos Mantidos até o Vencimento - No País","A","sped_account_template_l100a_1010105","5","1","L100A","sped_chart_template_la"
"sped_account_template_l100a_101010510","1.01.01.05.10","Debêntures emitidas por Partes Relacionadas - No País","A","sped_account_template_l100a_1010105","5","1","L100A","sped_chart_template_la"
"sped_account_template_l100a_101010511","1.01.01.05.11","Debêntures Emitidas por Partes Não Relacionadas - No País","A","sped_account_template_l100a_1010105","5","1","L100A","sped_chart_template_la"
"sped_account_template_l100a_101010515","1.01.01.05.15","Outros Empréstimos e Recebíveis - No País","A","sped_account_template_l100a_1010105","5","1","L100A","sped_chart_template_la"
"sped_account_template_l100a_101010550","1.01.01.05.50","(-) Juros a Apropriar Decorrentes de Ajuste a Valor Presente (AVP) -  Valores Mobiliários - No País","A","sped_account_template_l100a_1010105","5","1","L100A","sped_chart_template_la"
"sped_account_template_l100a_101010555","1.01.01.05.55","(-) Perdas por Redução ao Valor Recuperável (Impairment)- Valores Mobiliários - No País","A","sped_account_template_l100a_1010105","5","1","L100A","sped_chart_template_la"
"sped_account_template_l100a_101010570","1.01.01.05.70","Subconta - Ajuste a Valor Justo - Valores Mobiliários – Não Hedge -No País","A","sped_account_template_l100a_1010105","5","1","L100A","sped_chart_template_la"
"sped_account_template_l100a_101010590","1.01.01.05.90","Subconta – Adoção Inicial -  Valores Mobiliários – Não Hedge - No País","A","sped_account_template_l100a_1010105","5","1","L100A","sped_chart_template_la"
"sped_account_template_l100a_1010106","1.01.01.06","VALORES MOBILIÁRIOS - HEDGE - NO PAÍS","S","sped_account_template_l100a_10101","4","1","L100A","sped_chart_template_la"
